ocid,releases/0/id,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/relatedLots
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1959184,active,2021-05-17T12:00:00Z,10000000,EUR,8481182CC8
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1959295,active,2021-05-17T12:00:00Z,50000000,EUR,8484032CAD
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1959229,active,2021-05-11T12:00:00Z,15000000,EUR,84839519D6
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,2078436,active,2021-05-03T12:00:00Z,15000000,EUR,8484039277
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1959166,active,2021-05-11T12:00:00Z,15000000,EUR,8481019647
ocds-hu01ve-7902763,ocds-hu01ve-7902763-01,2125124,active,2020-10-19T12:00:00Z,58127.2,EUR,8464022BE7
ocds-hu01ve-7935605,ocds-hu01ve-7935605-01,1844812,active,2020-10-20T12:00:00Z,520938,EUR,8502701AD3
ocds-hu01ve-7883718,ocds-hu01ve-7883718-01,1802368,active,2020-10-01T12:00:00Z,54544.32,EUR,84415879F5
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881670,active,2021-01-12T12:00:00Z,3780,EUR,8465812112
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881657,active,2021-01-12T12:00:00Z,13200,EUR,8465786B9A
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881890,active,2021-01-12T12:00:00Z,3480,EUR,8465897735
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881897,active,2021-01-12T12:00:00Z,16200,EUR,8465926F21
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881623,active,2021-01-12T12:00:00Z,36000,EUR,84657741B6
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881871,active,2021-01-12T12:00:00Z,4800,EUR,8465888FC5
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881749,active,2021-01-12T12:00:00Z,5730,EUR,8465849F96
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881686,active,2021-01-12T12:00:00Z,11850,EUR,8465828E42
ocds-hu01ve-7919152,ocds-hu01ve-7919152-01,2055533,active,2020-10-28T12:00:00Z,60070.41,EUR,84830534CA
ocds-hu01ve-7912551,ocds-hu01ve-7912551-01,1860041,active,2020-11-06T12:00:00Z,1829535.36,EUR,8475081217
ocds-hu01ve-7929501,ocds-hu01ve-7929501-01,1917746,active,2020-11-24T12:00:00Z,40274.28,EUR,84951660C2
ocds-hu01ve-7920260,ocds-hu01ve-7920260-01,1843090,active,2020-10-29T12:00:00Z,14196.07,EUR,8484535BC4
ocds-hu01ve-7905693,ocds-hu01ve-7905693-01,1875035,active,2020-11-17T12:00:00Z,49998,EUR,8467321E52
ocds-hu01ve-7882526,ocds-hu01ve-7882526-01,1954673,active,2020-10-02T12:00:00Z,85200.32,EUR,844006739F
ocds-hu01ve-7908567,ocds-hu01ve-7908567-01,1804261,active,2020-10-15T12:00:00Z,169479,EUR,84706666B6
ocds-hu01ve-7903541,ocds-hu01ve-7903541-01,1922085,active,2020-10-09T12:00:00Z,1198000,EUR,8464884342
ocds-hu01ve-7823088,ocds-hu01ve-7823088-01,2047634,active,2021-05-14T12:00:00Z,617467.95,EUR,8372108215
