ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/awardID,releases/0/contracts/0/period/startDate,releases/0/contracts/0/period/endDate,releases/0/contracts/0/dateSigned
ocds-hu01ve-7903826,ocds-hu01ve-7903826-01,1816070,1816070,,2020-12-15T12:00:00Z,2020-10-28T12:00:00Z
ocds-hu01ve-7891800,ocds-hu01ve-7891800-01,1811304,1811304,,2021-12-31T12:00:00Z,2020-12-16T12:00:00Z
ocds-hu01ve-7891800,ocds-hu01ve-7891800-01,1811301,1811301,,2021-12-31T12:00:00Z,2020-12-16T12:00:00Z
ocds-hu01ve-7861001,ocds-hu01ve-7861001-01,1892590,1892590,2021-02-01T12:00:00Z,2021-09-30T12:00:00Z,2021-01-18T12:00:00Z
ocds-hu01ve-7861001,ocds-hu01ve-7861001-01,1892561,1892561,2021-02-01T12:00:00Z,2021-09-30T12:00:00Z,2021-01-18T12:00:00Z
ocds-hu01ve-7883718,ocds-hu01ve-7883718-01,1802368,1802368,,2023-03-06T12:00:00Z,
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881670,1881670,,2024-01-11T12:00:00Z,2021-01-12T12:00:00Z
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881890,1881890,,2024-01-11T12:00:00Z,2021-01-12T12:00:00Z
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881686,1881686,,2024-01-11T12:00:00Z,2021-01-12T12:00:00Z
ocds-hu01ve-7904387,ocds-hu01ve-7904387-01,1881623,1881623,,2024-01-11T12:00:00Z,2021-01-12T12:00:00Z
ocds-hu01ve-7912551,ocds-hu01ve-7912551-01,1860041,1860041,,2022-10-12T12:00:00Z,2021-07-27T12:00:00Z
ocds-hu01ve-7920260,ocds-hu01ve-7920260-01,1843090,1843090,,2021-02-10T12:00:00Z,2020-10-29T12:00:00Z
ocds-hu01ve-7905693,ocds-hu01ve-7905693-01,1875035,1875035,2020-11-17T12:00:00Z,2020-12-18T12:00:00Z,
ocds-hu01ve-7908567,ocds-hu01ve-7908567-01,1804261,1804261,,2021-04-14T12:00:00Z,
ocds-hu01ve-7903541,ocds-hu01ve-7903541-01,1922085,1922085,,2021-08-04T12:00:00Z,2020-10-09T12:00:00Z
ocds-hu01ve-7823088,ocds-hu01ve-7823088-01,2047634,2047634,,2021-02-11T12:00:00Z,
ocds-hu01ve-7892109,ocds-hu01ve-7892109-01,1807266,1807266,2021-01-01T12:00:00Z,2021-12-31T12:00:00Z,2020-10-20T12:00:00Z
ocds-hu01ve-7901456,ocds-hu01ve-7901456-01,1852853,1852853,,2021-04-30T12:00:00Z,2020-12-02T12:00:00Z
ocds-hu01ve-7905743,ocds-hu01ve-7905743-01,1869105,1869105,,2021-01-28T12:00:00Z,2020-12-04T12:00:00Z
ocds-hu01ve-7913738,ocds-hu01ve-7913738-01,1817916,1817916,,2020-12-27T12:00:00Z,2020-11-19T12:00:00Z
ocds-hu01ve-7987815,ocds-hu01ve-7987815-01,1968032,1968032,2020-10-19T12:00:00Z,2021-12-31T12:00:00Z,2020-10-19T12:00:00Z
ocds-hu01ve-7915282,ocds-hu01ve-7915282-01,1923502,1923502,2020-10-20T12:00:00Z,2023-09-21T12:00:00Z,2020-10-20T12:00:00Z
ocds-hu01ve-7906811,ocds-hu01ve-7906811-01,1816728,1816728,,2021-07-22T12:00:00Z,2020-10-29T12:00:00Z
ocds-hu01ve-7893752,ocds-hu01ve-7893752-01,1838076,1838076,,2020-12-19T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7893752,ocds-hu01ve-7893752-01,1838053,1838053,,2020-12-19T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7893752,ocds-hu01ve-7893752-01,1838570,1838570,2020-10-01T12:00:00Z,2020-12-19T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7893752,ocds-hu01ve-7893752-01,1838567,1838567,2020-10-01T12:00:00Z,2020-12-19T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7893752,ocds-hu01ve-7893752-01,1838113,1838113,2020-10-01T12:00:00Z,2020-12-19T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7938390,ocds-hu01ve-7938390-01,1860843,1860843,,2020-12-27T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2101138,2101138,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2101122,2101122,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2101038,2101038,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095762,2095762,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095363,2095363,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095286,2095286,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2100995,2100995,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095631,2095631,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095707,2095707,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095522,2095522,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2101083,2101083,,2023-12-31T12:00:00Z,
ocds-hu01ve-7865447,ocds-hu01ve-7865447-01,2095781,2095781,,2023-12-31T12:00:00Z,
ocds-hu01ve-7860711,ocds-hu01ve-7860711-01,1794060,1794060,,2022-05-31T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7923203,ocds-hu01ve-7923203-01,1814690,1814690,,2023-02-21T12:00:00Z,
ocds-hu01ve-7907878,ocds-hu01ve-7907878-01,1797509,1797509,2020-10-09T12:00:00Z,2021-04-30T12:00:00Z,2020-10-09T12:00:00Z
ocds-hu01ve-7921209,ocds-hu01ve-7921209-01,1812759,1812759,,2020-12-28T12:00:00Z,2020-10-29T12:00:00Z
ocds-hu01ve-7904146,ocds-hu01ve-7904146-01,1865652,1865652,,2021-04-16T12:00:00Z,2020-12-16T12:00:00Z
ocds-hu01ve-7916497,ocds-hu01ve-7916497-01,1958273,1958273,,2021-05-04T12:00:00Z,2021-01-13T12:00:00Z
ocds-hu01ve-7922524,ocds-hu01ve-7922524-01,1999907,1999907,,2021-02-23T12:00:00Z,2021-01-18T12:00:00Z
ocds-hu01ve-7865476,ocds-hu01ve-7865476-01,1940561,1940561,,2024-05-31T12:00:00Z,2021-05-26T12:00:00Z
ocds-hu01ve-7925930,ocds-hu01ve-7925930-01,1959530,1959530,2020-11-10T12:00:00Z,2021-02-07T12:00:00Z,2020-11-09T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814118,1814118,,2020-12-23T12:00:00Z,2020-10-26T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814133,1814133,,2020-12-23T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814097,1814097,,2020-12-23T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814081,1814081,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814125,1814125,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814112,1814112,,2020-12-23T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814129,1814129,,2020-12-23T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814113,1814113,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814124,1814124,,2021-06-05T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814139,1814139,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814101,1814101,,2020-12-23T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814136,1814136,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7929001,ocds-hu01ve-7929001-01,1814140,1814140,,2020-12-23T12:00:00Z,2020-11-03T12:00:00Z
ocds-hu01ve-7907358,ocds-hu01ve-7907358-01,1879027,1879027,,2020-12-14T12:00:00Z,
ocds-hu01ve-7919949,ocds-hu01ve-7919949-01,1930849,1930849,2020-10-26T12:00:00Z,2022-12-31T12:00:00Z,2020-10-26T12:00:00Z
ocds-hu01ve-7916947,ocds-hu01ve-7916947-01,1859546,1859546,,2020-12-31T12:00:00Z,
ocds-hu01ve-7965206,ocds-hu01ve-7965206-01,1850858,1850858,2021-01-01T12:00:00Z,2021-12-31T12:00:00Z,
ocds-hu01ve-7900549,ocds-hu01ve-7900549-01,1804213,1804213,,2023-04-22T12:00:00Z,2020-10-21T12:00:00Z
ocds-hu01ve-7887679,ocds-hu01ve-7887679-01,1818372,1818372,,2021-07-07T12:00:00Z,2020-11-12T12:00:00Z
ocds-hu01ve-7895579,ocds-hu01ve-7895579-01,1879899,1879899,,2021-05-01T12:00:00Z,2020-12-02T12:00:00Z
ocds-hu01ve-7920742,ocds-hu01ve-7920742-01,1871224,1871224,,2021-03-27T12:00:00Z,2020-10-30T12:00:00Z
ocds-hu01ve-7905471,ocds-hu01ve-7905471-01,1863292,1863292,,2021-10-30T12:00:00Z,2020-10-23T12:00:00Z
ocds-hu01ve-7868975,ocds-hu01ve-7868975-01,1883064,1883064,,2022-04-24T12:00:00Z,2021-04-06T12:00:00Z
ocds-hu01ve-7908223,ocds-hu01ve-7908223-01,1854216,1854216,,2021-01-04T12:00:00Z,2020-11-20T12:00:00Z
ocds-hu01ve-8323530,ocds-hu01ve-8323530-01,2060805,2060805,,2021-09-30T12:00:00Z,2021-10-21T12:00:00Z
ocds-hu01ve-7885754,ocds-hu01ve-7885754-01,1811010,1811010,2020-10-29T12:00:00Z,2021-09-30T12:00:00Z,2020-10-29T12:00:00Z
ocds-hu01ve-7919248,ocds-hu01ve-7919248-01,1858684,1858684,,2021-11-25T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7947349,ocds-hu01ve-7947349-01,1857440,1857440,,2022-01-31T12:00:00Z,
ocds-hu01ve-7917356,ocds-hu01ve-7917356-01,1901652,1901652,,2022-03-11T12:00:00Z,2021-03-12T12:00:00Z
ocds-hu01ve-7906792,ocds-hu01ve-7906792-01,2037745,2037745,,2021-09-13T12:00:00Z,2021-03-12T12:00:00Z
ocds-hu01ve-7887197,ocds-hu01ve-7887197-01,1811738,1811738,,2024-12-02T12:00:00Z,
ocds-hu01ve-7929988,ocds-hu01ve-7929988-01,1850140,1850140,,2022-12-31T12:00:00Z,2021-01-01T12:00:00Z
ocds-hu01ve-7882766,ocds-hu01ve-7882766-01,1903603,1903603,,2026-10-12T12:00:00Z,2021-04-15T12:00:00Z
ocds-hu01ve-7894872,ocds-hu01ve-7894872-01,1886748,1886748,,2021-06-02T12:00:00Z,
ocds-hu01ve-7912816,ocds-hu01ve-7912816-01,1863951,1863951,,2021-08-02T12:00:00Z,2021-03-02T12:00:00Z
ocds-hu01ve-7928527,ocds-hu01ve-7928527-01,2102343,2102343,,2022-06-02T12:00:00Z,2020-12-23T12:00:00Z
ocds-hu01ve-7909765,ocds-hu01ve-7909765-01,2017394,2017394,,2022-04-28T12:00:00Z,2021-03-10T12:00:00Z
ocds-hu01ve-7848099,ocds-hu01ve-7848099-01,1803906,1803906,,2021-08-31T12:00:00Z,2020-10-19T12:00:00Z
ocds-hu01ve-7848099,ocds-hu01ve-7848099-01,1803863,1803863,,2021-08-31T12:00:00Z,2020-10-12T12:00:00Z
ocds-hu01ve-7848099,ocds-hu01ve-7848099-01,1803819,1803819,,2021-08-31T12:00:00Z,2020-10-19T12:00:00Z
ocds-hu01ve-7848099,ocds-hu01ve-7848099-01,1803877,1803877,,2021-08-31T12:00:00Z,2020-11-12T12:00:00Z
ocds-hu01ve-7923025,ocds-hu01ve-7923025-01,1945157,1945157,,2021-11-01T12:00:00Z,
ocds-hu01ve-7919482,ocds-hu01ve-7919482-01,2076193,2076193,2020-11-27T12:00:00Z,2022-11-30T12:00:00Z,2020-11-27T12:00:00Z
ocds-hu01ve-7924508,ocds-hu01ve-7924508-01,1851070,1851070,2020-11-30T12:00:00Z,2021-02-12T12:00:00Z,2020-11-26T12:00:00Z
ocds-hu01ve-7899116,ocds-hu01ve-7899116-01,1827385,1827385,,2021-12-14T12:00:00Z,2021-06-10T12:00:00Z
ocds-hu01ve-7914540,ocds-hu01ve-7914540-01,1916129,1916129,,2022-10-17T12:00:00Z,
ocds-hu01ve-8366331,ocds-hu01ve-8366331-01,2149484,2149484,,2021-12-28T12:00:00Z,2021-10-28T12:00:00Z
ocds-hu01ve-7924621,ocds-hu01ve-7924621-01,1939209,1939209,,2020-12-27T12:00:00Z,2020-10-27T12:00:00Z
ocds-hu01ve-7891760,ocds-hu01ve-7891760-01,2117949,2117949,,2022-06-30T12:00:00Z,
